AreaName,id,name,venuelat,venuelng,category
The Elms,4da0fd39540ea1cd9e565ede,Etob Restaurant,43.72549547,-79.55127504,African Restaurant
The Elms,4c030442f56c2d7f605a1c66,Humber Valley Golf Course,43.72680821,-79.54612139,Golf Course
The Elms,5027e664e4b039d48c4fdc0d,Royal Canadian Legion #286,43.72589471,-79.55293797,Bar
The Elms,4f429a890cd6b45fa6bf0982,Summerlea Park,43.73208073,-79.54764605,Park
Leslieville,4b1002f6f964a5206f6723e3,Pizza Pide,43.6680476,-79.34036572,Pide Place
Leslieville,4c13c3ecb7b9c928061caa37,Tropical Joe's,43.66971567,-79.33915331,Caribbean Restaurant
Leslieville,4d54423bdcb1a143c9cebcbf,Subway® Restaurants,43.66933008,-79.33904419,Sandwich Place
Leslieville,4c15114f77cea5932889d160,KFC,43.66981605,-79.33899491,Fast Food Restaurant
Leslieville,4af04dd6f964a5201fdb21e3,McDonald's,43.6684646,-79.34032490000001,Fast Food Restaurant
Leslieville,4cb5f4fe55af224bb264967e,The Source,43.66928696,-79.33674932,Electronics Store
Leslieville,508be642e4b0499bc6a1da6e,Walmart,43.66865513,-79.33931152,Big Box Store
Downtown,4f5e3a0de4b05cd76be1ecd3,Maple Leaf Cinema,43.64222084,-79.38764372,Indie Movie Theater
Downtown,5be3d209c58ed7002cdb197e,Starbucks,43.641804,-79.38914100000001,Coffee Shop
Downtown,59618608603d2a7c9475ba34,The Pint Public House,43.64330062,-79.3886855,Sports Bar
Downtown,4b3fbc82f964a5208dad25e3,The Beer Store,43.638502,-79.3890935,Beer Store
Downtown,4bc1fe8bb492d13aa9bba660,Jays Shop Stadium Edition,43.64172087,-79.38712659999999,Sporting Goods Shop
Downtown,4e41c487ae60f5540b3997f5,TD Comfort Zone,43.641446200000004,-79.38913896,Baseball Field
Downtown,4f452e59e4b025d844146fb8,Pizzaiolo,43.63911335,-79.38726583,Pizza Place
Downtown,4ad4c060f964a5208af720e3,Arriba Restaurant,43.64147926,-79.38907385,Restaurant
Downtown,4b66dcf4f964a520d62d2be3,Tim Hortons,43.64369492,-79.38972747,Coffee Shop
Downtown,4f0b3e74e4b0e8ed3a61a50e,Harbourview Mariner Super Club Bowling Alley,43.64034871,-79.39206957,Bowling Alley
Downtown,4bc68a87db8fa59320999c37,Blue Edge,43.639512100000005,-79.39183844,Trail
Downtown,4ad90ba1f964a5207b1721e3,Rabba Fine Foods,43.64335506,-79.39115764,Grocery Store
Downtown,52d04ed9498e69547b2b1f23,Thai Express,43.643661,-79.390927,Restaurant
Six Points,4bcb9b5a68f976b0717e6183,Anatolia Restaurant,43.64459569,-79.5328097,Turkish Restaurant
Six Points,4bb7516746d4a593e74ac7c0,Michael Power Park,43.645293,-79.53120200000001,Playground
Six Points,4e963ef702d5458d046943cd,St. James's Gate Irish Pub,43.64380478,-79.53348383,Pub
Six Points,511992d3e4b04d760b8ff836,Gourmet Bakery (Islington Station),43.64491853,-79.52471129,Bakery
Six Points,4b4919fcf964a520ea6526e3,Toji Sushi,43.64504527,-79.53220459,Sushi Restaurant
Six Points,5b3f859ff1936e002cc9b408,Dollarama,43.6472265,-79.5296953,Discount Store
Six Points,4c13d1eba5eb76b00aa2c0b7,The Beer Store,43.6441229,-79.52561440000001,Beer Store
Six Points,4e84fce77ee6763749952413,I Love Sushi,43.64839292,-79.52921474,Sushi Restaurant
Six Points,4b47e0b5f964a520914226e3,Chodang Soon Tofu,43.64406179,-79.53314353,Korean Restaurant
Six Points,4e28d2452271752a45991502,Boar N Wing,43.6430605,-79.53417784,Wings Joint
Six Points,4ce8572ae1eeb60c26c2a2ae,John's Fish 'N' Chips,43.64492289,-79.53226918,Fish & Chips Shop
Six Points,4cc8ae0b786e4688e6998f09,Subway,43.64840005,-79.52877688,Sandwich Place
Six Points,55ea1045498e2b63ad6fd717,Food Truck'n Friday,43.64333265,-79.53103199,Food Truck
Six Points,4bfbd48dd0382d7fb822ca0a,Stop 9013 Mississauga Transit,43.64317958,-79.53065425,Bus Stop
Six Points,4ba69f0bf964a520956339e3,Chinese Food Gallery,43.64390485,-79.53316738,Chinese Restaurant
Six Points,4eb04d402c5b1b4e30e728b3,Wine Kitz,43.64384024,-79.53615355,Vineyard
Downtown,5966b520fc9e94307406dafe,Si Lom,43.66501008,-79.38068288,Thai Restaurant
Downtown,544fc36c498ea63958331891,Wilbur Mexicana,43.64481015,-79.39864419,Mexican Restaurant
Downtown,51680a38498e9cc12ffaad70,Forno Cultura,43.64429609,-79.40071459,Bakery
Downtown,4ee8f32602d5895bd7dce1b1,Gusto 101,43.64498822,-79.40026979,Italian Restaurant
Downtown,4b2274c1f964a5200f4724e3,Jimmy's Coffee,43.64525756,-79.40030852,Coffee Shop
Downtown,5a2f13e28ad62e3cdea5e26f,Chubby's Jamaican Kitchen,43.64538105,-79.40057667,Caribbean Restaurant
Downtown,4dcb3ddefa76d745f0514d24,WVRST,43.64421786,-79.40075777,Beer Bar
Downtown,4ad4c064f964a52093f820e3,Body Blitz Spa West,43.64597633,-79.39983376,Spa
Downtown,4ae7757df964a52082ab21e3,Lee,43.64437491,-79.40042527,Asian Restaurant
Downtown,4af5c1f0f964a5206efc21e3,Buca,43.64478896,-79.40039441,Italian Restaurant
Downtown,59578e4dfc9e947814a46316,Starbucks,43.64419042,-79.40131719,Coffee Shop
Downtown,5727f848498e70e0a032e11a,Belfast Love,43.64489705,-79.39852206,Irish Pub
Downtown,5b9c71c0b5cb76002ccba9b9,Regulars,43.644112,-79.402375,Bar
Downtown,5b201e0d6f0aa2002c4e541a,COPS,43.645739,-79.39890600000001,Donut Shop
Downtown,5b0593b06fd626002c7cc600,Impact Kitchen,43.64631278,-79.39804163,Café
Downtown,510f4d8ee4b04c8cb2f7a0fe,Brioche Dorée,43.64412861,-79.40165708,Bakery
Downtown,578448d5498ebc4f92ba141d,Locals Only,43.644409,-79.40027463,Bar
Downtown,4b1d7f82f964a520551124e3,Quad,43.64463606,-79.39944854,College Gym
Downtown,4bbf7b5d461576b0819d7832,Pure + Simple,43.64348251,-79.40466036,Spa
Leslieville,56d331c5498e8113529782ed,Hailed Coffee,43.6669,-79.34543199999999,Coffee Shop
Leslieville,5240e04fbce607d489eb95d9,The Real Jerk Restaurant,43.66773465,-79.34283873,Caribbean Restaurant
Leslieville,5b09e809a6031c002cdd9c37,Wynona,43.667035999999996,-79.344672,Bistro
Leslieville,4af5eb2af964a520cffe21e3,Simon's Wok,43.66702629,-79.34556905,Vegetarian / Vegan Restaurant
Leslieville,4da853690c531457770f8103,Mad Dog Cafe,43.66719032,-79.34477831,Café
Leslieville,4cb5d0239c7ba35dd5218d06,Artists' Play Dance,43.66397254,-79.34410055,Dance Studio
Leslieville,4c755c282db5236a4dc8bc79,RiverRock Cafe,43.66149725,-79.34023504,Café
Clairlea,4c52e13994790f47ae5632a3,Tim Hortons,43.71628789,-79.28333715,Coffee Shop
Clairlea,4cae70b639458cfa10d3f29f,Clairlea Futbol Centre,43.71523429,-79.28650639,Soccer Field
Clairlea,4d82c0ff61676dcb93294de4,Mackish Irish Pub,43.7199322,-79.28432762,Pub
Clairlea,4cdd51f03f6a8cfa1625f7ea,Warden Ave & Fairfax Cres,43.716187,-79.28293599999999,Intersection
Clairlea,4b708179f964a5209f1e2de3,Venice Fitness,43.718458700000006,-79.28457808,Gym
Clairlea,4e3c06b8aeb73139a1653a0b,Sullivan Studios,43.71908473,-79.28690268,General Entertainment
Earlscourt,4d6946606297721e8596c6b5,Sabor Brasil Restaurant,43.67444517,-79.45922778,Brazilian Restaurant
